Johnson        IA9999999920191212J29999999
David          IA0000000020191213J20000000
John           MO0123456720191214J10123456
Billy          MO9867530920191215J18675309
AlexandermansonMA9000000020191216J39000000
Bob            MA9999999920191217J39999999
Joesph         IL2468101220191212B11357010
Mannyman       IL1234567820191213B11234567
Benjamen       IN0123456720191214B20123456
Ben            IN1234567820191215B21234567
Bobby          NE9876543220191216B39876543
Johnny         NE9999999920191217B39999999
Dave           TX0000000020191212C10000000
Joe            TX9999990020191213C19999900
Kevin          IL9999999920191214C29999999
Bubba          IL9876543220191215C29876543
Oscar          IA1234577820191216C31234667
Manson         IA8765432120191217C37654321
Jeffery        IN9999999920191212P19999999
JetsonalexanderIN9123456720191213P19123456
Jeff           MO9876543220191214P29876543
Alex           MO2143658720191215P28967452
Issac          MA9234567820191216P39345678
Clarke         MA9345678920191217P39456789
Micheal        NY9988776620191212S29988776
Mike           NY9999888820191213S29998887
Mitch          NE9999999920191214S19999999
Tyler          NE9899999920191215S19899999
Luke           IA9898989820191216S39898989
Lucas          IA9999999920191217S39999999
Johnluke       WI9898989820191212R19898989
Alexander      WI9999999920191213R19999999
Kyle           IA9789789820191214R29787989
Manny          IA9999999920191215R29999999
Nicholas       MO9999998820191216R39999988
Nike           MO9888889920191217R39888899
